ID,Spec_ID,sp,L_Shell,W_Shell,L_Ap,W_Ap,Texture,Site,Lat,Lon,Count,Dive,Sal_ppt,TempC,O2,Depth,Cond,Substrate,Thickness,ORP_sd_100,SENTRY_dive
EC7404,1,laevis,7.28797259,5.323275047,4.895699433,3.374621928,0,Mound 12,8.93037,-84.3132,84,4974,34.57688142,5.163464602,32.916288,1003.859929,3.368162389,Mussel,0.03,0.33480384,502
EC7404,2,laevis,6.792084121,4.38194707,4.397826087,2.730860113,0,Mound 12,8.93037,-84.3132,84,4974,34.57688142,5.163464602,32.916288,1003.859929,3.368162389,Mussel,0.13,0.33480384,502
EC7404,3,laevis,6.160893195,3.987287335,3.948913043,2.606805293,0,Mound 12,8.93037,-84.3132,84,4974,34.57688142,5.163464602,32.916288,1003.859929,3.368162389,Mussel,0.15,0.33480384,502
EC7404,4,laevis,6.105647448,4.129702268,4.074952741,2.542296786,0,Mound 12,8.93037,-84.3132,84,4974,34.57688142,5.163464602,32.916288,1003.859929,3.368162389,Mussel,0.19,0.33480384,502
EC7404,5,laevis,6.404702268,3.995723062,3.954867675,2.602173913,0,Mound 12,8.93037,-84.3132,84,4974,34.57688142,5.163464602,32.916288,1003.859929,3.368162389,Mussel,0.23,0.33480384,502
EC7542,1,goniata,7.481663516,4.903308129,4.500708885,2.994187146,0.467273157,Jaco Scar,9.11778,-84.839533,5,4977,34.63475948,2.515026544,101.42076,1803.125841,3.171868862,Mussel,0.31,-0.06328516,503
EC7542,2,goniata,6.241942344,4.585893195,4.183128544,3.125850662,0.243312854,Jaco Scar,9.11778,-84.839533,5,4977,34.63475948,2.515026544,101.42076,1803.125841,3.171868862,Mussel,0.23,-0.06328516,503
EC7542,3,goniata,6.261956522,4.051961248,3.405387524,2.406994329,0.470498582,Jaco Scar,9.11778,-84.839533,5,4977,34.63475948,2.515026544,101.42076,1803.125841,3.171868862,Mussel,0.22,-0.06328516,503
EC7542,4,goniata,5.74076087,3.50926276,3.345510397,2.302457467,0.304844045,Jaco Scar,9.11778,-84.839533,5,4977,34.63475948,2.515026544,101.42076,1803.125841,3.171868862,Mussel,0.33,-0.06328516,503
EC7542,5,goniata,8.293147448,4.911909263,4.989650284,2.898582231,0.406155482,Jaco Scar,9.11778,-84.839533,5,4977,34.63475948,2.515026544,101.42076,1803.125841,3.171868862,Mussel,0.26,-0.06328516,503
EC7543,1,goniata,4.877339319,3.512901701,2.821833648,2.192627599,0.404253308,Jaco Scar,9.11778,-84.839533,30,4977,34.63475948,2.515026544,101.42076,1803.125841,3.171868862,Mussel,0.39,-0.06328516,503
EC7543,2,goniata,7.734073724,4.905293006,4.867249527,3.086483932,0.728036389,Jaco Scar,9.11778,-84.839533,30,4977,34.63475948,2.515026544,101.42076,1803.125841,3.171868862,Mussel,0.29,-0.06328516,503
EC7543,3,goniata,5.691800567,3.697164461,3.288279773,2.343809074,0.492663043,Jaco Scar,9.11778,-84.839533,30,4977,34.63475948,2.515026544,101.42076,1803.125841,3.171868862,Mussel,0.38,-0.06328516,503
EC7543,4,goniata,7.083695652,4.842769376,4.766020794,3.322022684,0.528721645,Jaco Scar,9.11778,-84.839533,30,4977,34.63475948,2.515026544,101.42076,1803.125841,3.171868862,Mussel,0.19,-0.06328516,503
